field1,GEOID,STATE,PLACENS,BLKGRP,BLOCK,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,GEOID10,field1:1,GEOID10:1,BLOCKCE10,INTPTLAT10,INTPTLON10
20999,4.82015E+14,48,2410796,1,1007,51,7,44,42,38,3,0,1,0,0,2,75,18,57,53,48,3,0,2,0,0,4,4.82015E+14,295804,4.82015E+14,1007,29.7469948,-95.5646563
21000,4.82015E+14,48,2410796,1,1008,64,5,59,58,55,3,0,0,0,0,1,96,9,87,84,74,5,0,5,0,0,3,4.82015E+14,695139,4.82015E+14,1008,29.7460283,-95.5627711
21001,4.82015E+14,48,2410796,1,1009,51,4,47,46,44,0,0,2,0,0,1,68,6,62,60,51,2,0,7,0,0,2,4.82015E+14,156850,4.82015E+14,1009,29.7392396,-95.5627282
21002,4.82015E+14,48,2410796,1,1010,60,11,49,49,47,1,0,1,0,0,0,73,11,62,60,58,1,0,1,0,0,2,4.82015E+14,836811,4.82015E+14,1010,29.743509,-95.5623496
21003,4.82015E+14,48,2410796,1,1011,59,8,51,50,46,4,0,0,0,0,1,75,11,64,63,59,4,0,0,0,0,1,4.82015E+14,120531,4.82015E+14,1011,29.744594,-95.5651506
21004,4.82015E+14,48,2410796,1,1012,60,3,57,57,52,4,0,1,0,0,0,69,5,64,64,57,6,0,1,0,0,0,4.82015E+14,699500,4.82015E+14,1012,29.7454337,-95.5651554
21005,4.82015E+14,48,2410796,1,1013,52,9,43,42,40,0,2,0,0,0,1,74,13,61,60,58,0,2,0,0,0,1,4.82015E+14,398304,4.82015E+14,1013,29.7429127,-95.5651263
21006,4.82015E+14,48,2410796,1,1014,63,6,57,53,45,4,0,4,0,0,4,91,24,67,63,55,4,0,4,0,0,4,4.82015E+14,883821,4.82015E+14,1014,29.7437533,-95.5651306
21007,4.82015E+14,48,2410796,1,1015,323,66,257,256,83,104,0,64,0,5,1,369,72,297,293,92,124,0,72,0,5,4,4.82015E+14,580859,4.82015E+14,1015,29.7412303,-95.5651067
21008,4.82015E+14,48,2410796,1,1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82015E+14,98534,4.82015E+14,1016,29.7420701,-95.5651151
21009,4.82015E+14,48,2410796,1,1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82015E+14,418819,4.82015E+14,1017,29.7387961,-95.565091
21010,4.82015E+14,48,2410796,1,1018,22,8,14,13,11,2,0,0,0,0,1,25,10,15,14,12,2,0,0,0,0,1,4.82015E+14,335385,4.82015E+14,1018,29.7396198,-95.5650911
21011,4.82015E+14,48,2410796,1,1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82015E+14,398064,4.82015E+14,1019,29.7404188,-95.5651029
21012,4.82015E+14,48,2410796,1,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82015E+14,332685,4.82015E+14,1020,29.7389442,-95.5604528
21013,4.82015E+14,48,2410796,1,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82015E+14,184631,4.82015E+14,1021,29.7382945,-95.5591453
21014,4.82015E+14,48,2410796,1,1022,36,2,34,31,9,21,1,0,0,0,3,64,7,57,52,12,39,1,0,0,0,5,4.82015E+14,73994,4.82015E+14,1022,29.7394905,-95.5580591
21015,4.82015E+14,48,2410796,2,2000,460,173,287,285,153,83,0,46,0,3,2,538,188,350,342,182,109,0,48,0,3,8,4.82015E+14,737814,4.82015E+14,2000,29.7472466,-95.5679648
21016,4.82015E+14,48,2410796,2,2001,30,6,24,24,13,5,0,6,0,0,0,37,9,28,28,17,5,0,6,0,0,0,4.82015E+14,267935,4.82015E+14,2001,29.7468863,-95.5680318
21017,4.82015E+14,48,2410796,2,2002,48,5,43,42,33,2,0,7,0,0,1,53,6,47,46,36,3,0,7,0,0,1,4.82015E+14,251766,4.82015E+14,2002,29.7470013,-95.566355
21018,4.82015E+14,48,2410796,2,2003,60,13,47,42,32,4,0,6,0,0,5,66,13,53,48,34,8,0,6,0,0,5,4.82015E+14,822553,4.82015E+14,2003,29.7464676,-95.5690738
21019,4.82015E+14,48,2410796,2,2004,110,13,97,93,65,11,2,15,0,0,4,128,16,112,106,74,14,2,16,0,0,6,4.82015E+14,697630,4.82015E+14,2004,29.7473725,-95.5713868
21020,4.82015E+14,48,2410796,2,2005,31,1,30,30,23,1,0,6,0,0,0,34,2,32,30,23,1,0,6,0,0,2,4.82015E+14,709242,4.82015E+14,2005,29.7467024,-95.5702562
